growth_rate,Conductance,Time_s,Temperature ( in C ),Catalyst Layer Thickness ( in nm ),Run_ID,Status_of_Exp,,,,,
4.423,0.000217842,990,625,2,1,Success,,,,,
4.423,0.00021749,992,625,2,1,Success,,,,,
4.383,0.00021688,994,625,2,1,Success,,,,,
4.28,0.00021626,996,625,2,1,Success,,,,,
4.1,0.000217184,998,625,2,1,Success,,,,,
4.2,0.000216561,1000,625,2,1,Success,,,,,
4.383,0.000218737,1002,625,2,1,Success,,,,,
4.459,0.000219767,1004,625,2,1,Success,,,,,
4.468,0.000218296,1006,625,2,1,Success,,,,,
4.316,0.000217799,1008,625,2,1,Success,,,,,
4.278,0.000217751,1010,625,2,1,Success,,,,,
4.134,0.000217855,1012,625,2,1,Success,,,,,
4.386,0.000218229,1014,625,2,1,Success,,,,,
5.232,0.000216828,1016,625,2,1,Success,,,,,
5.155,0.000216583,1018,625,2,1,Success,,,,,
4.235,0.000217289,1020,625,2,1,Success,,,,,
4.275,0.000217085,1022,625,2,1,Success,,,,,
4.442,0.000217225,1024,625,2,1,Success,,,,,
4.525,0.0002173,1026,625,2,1,Success,,,,,
4.42,0.000216576,1028,625,2,1,Success,,,,,
4.285,0.000216887,1030,625,2,1,Success,,,,,
4.273,0.00021721,1032,625,2,1,Success,,,,,
4.204,0.000216989,1034,625,2,1,Success,,,,,
4.432,0.000216447,1036,625,2,1,Success,,,,,
4.51,0.000216403,1038,625,2,1,Success,,,,,
4.446,0.000216681,1040,625,2,1,Success,,,,,
4.267,0.000216502,1042,625,2,1,Success,,,,,
4.158,0.000216098,1044,625,2,1,Success,,,,,
4.157,0.000215862,1046,625,2,1,Success,,,,,
5.104,0.000217456,1048,625,2,1,Success,,,,,
5.182,0.000216814,1050,625,2,1,Success,,,,,
4.211,0.000216173,1052,625,2,1,Success,,,,,
4.029,0.000216042,1054,625,2,1,Success,,,,,
4.234,0.000216289,1056,625,2,1,Success,,,,,
4.329,0.00021516,1058,625,2,1,Success,,,,,
4.455,0.000215292,1060,625,2,1,Success,,,,,
4.353,0.000215102,1062,625,2,1,Success,,,,,
4.362,0.00021525,1064,625,2,1,Success,,,,,
4.28,0.000215703,1066,625,2,1,Success,,,,,
4.126,0.00021451,1068,625,2,1,Success,,,,,
4.279,0.000214716,1070,625,2,1,Success,,,,,
4.205,0.00021528,1072,625,2,1,Success,,,,,
4.387,0.000216254,1074,625,2,1,Success,,,,,
4.456,0.000215432,1076,625,2,1,Success,,,,,
4.369,0.000215426,1078,625,2,1,Success,,,,,
4.3,0.000215399,1080,625,2,1,Success,,,,,
5.026,0.000214965,1082,625,2,1,Success,,,,,
5.173,0.000214721,1084,625,2,1,Success,,,,,
4.387,0.000215198,1086,625,2,1,Success,,,,,
4.192,0.000215192,1088,625,2,1,Success,,,,,
4.168,0.000215275,1090,625,2,1,Success,,,,,
4.196,0.000215055,1092,625,2,1,Success,,,,,
4.366,0.000215442,1094,625,2,1,Success,,,,,
4.482,0.000216235,1096,625,2,1,Success,,,,,
